时间,负荷,最高温度℃,最低温度℃,平均温度℃,相对湿度(平均),降雨量（mm）
2018/1/1 9:00,3305.362624,20.7,9.3,14.3,40,0
2018/1/1 9:15,3367.100512,20.7,9.3,14.3,40,0
2018/1/1 9:30,3404.86864,20.7,9.3,14.3,40,0
2018/1/1 9:45,3466.697056,20.7,9.3,14.3,40,0
2018/1/1 10:00,3514.483072,20.7,9.3,14.3,40,0
2018/1/1 10:15,3563.698048,20.7,9.3,14.3,40,0
2018/1/1 10:30,3619.105504,20.7,9.3,14.3,40,0
2018/1/1 10:45,3639.746368,20.7,9.3,14.3,40,0
2018/1/1 11:00,3705.617536,20.7,9.3,14.3,40,0
2018/1/1 11:15,3707.49856,20.7,9.3,14.3,40,0
2018/1/1 11:30,3714.930592,20.7,9.3,14.3,40,0
2018/1/1 11:45,3663.263584,20.7,9.3,14.3,40,0
2018/1/1 12:00,3566.094976,20.7,9.3,14.3,40,0
2018/1/1 12:15,3448.278688,20.7,9.3,14.3,40,0
2018/1/1 12:30,3376.69984,20.7,9.3,14.3,40,0
2018/1/1 12:45,3313.369888,20.7,9.3,14.3,40,0
2018/1/1 13:00,3235.307776,20.7,9.3,14.3,40,0
2018/1/1 13:15,3175.876768,20.7,9.3,14.3,40,0
2018/1/1 13:30,3133.58176,20.7,9.3,14.3,40,0
2018/1/1 13:45,3123.457408,20.7,9.3,14.3,40,0
2018/1/1 14:00,3094.074304,20.7,9.3,14.3,40,0
2018/1/1 14:15,3082.022944,20.7,9.3,14.3,40,0
2018/1/1 14:30,3072.137248,20.7,9.3,14.3,40,0
2018/1/1 14:45,3070.714624,20.7,9.3,14.3,40,0
2018/1/1 15:00,3054.56032,20.7,9.3,14.3,40,0
2018/1/1 15:15,3088.16128,20.7,9.3,14.3,40,0
2018/1/1 15:30,3112.189888,20.7,9.3,14.3,40,0
2018/1/1 15:45,3148.746688,20.7,9.3,14.3,40,0
2018/1/1 16:00,3225.857536,20.7,9.3,14.3,40,0
2018/1/1 16:15,3322.791232,20.7,9.3,14.3,40,0
2018/1/1 16:30,3390.797536,20.7,9.3,14.3,40,0
2018/1/1 16:45,3438.786976,20.7,9.3,14.3,40,0
2018/1/1 17:00,3508.446688,20.7,9.3,14.3,40,0
2018/1/1 17:15,3609.083584,20.7,9.3,14.3,40,0
2018/1/1 17:30,3708.951712,20.7,9.3,14.3,40,0
2018/1/1 17:45,3853.669408,20.7,9.3,14.3,40,0
2018/1/1 18:00,3999.323104,20.7,9.3,14.3,40,0
2018/1/1 18:15,4208.20096,20.7,9.3,14.3,40,0
2018/1/1 18:30,4250.4616,20.7,9.3,14.3,40,0
2018/1/1 18:45,4221.789088,20.7,9.3,14.3,40,0
2018/1/1 19:00,4215.149728,20.7,9.3,14.3,40,0
2018/1/1 19:15,4187.422144,20.7,9.3,14.3,40,0
2018/1/1 19:30,4197.642304,20.7,9.3,14.3,40,0
2018/1/1 19:45,4156.330912,20.7,9.3,14.3,40,0
2018/1/1 20:00,4182.608128,20.7,9.3,14.3,40,0
2018/1/1 20:15,4184.08,20.7,9.3,14.3,40,0
2018/1/1 20:30,4227.229888,20.7,9.3,14.3,40,0
2018/1/1 20:45,4251.209728,20.7,9.3,14.3,40,0
2018/1/1 21:00,4220.827648,20.7,9.3,14.3,40,0
2018/1/1 21:15,4232.448928,20.7,9.3,14.3,40,0
2018/1/1 21:30,4223.731552,20.7,9.3,14.3,40,0
2018/1/1 21:45,4174.090432,20.7,9.3,14.3,40,0
2018/1/1 22:00,4095.713152,20.7,9.3,14.3,40,0
2018/1/1 22:15,4035.992032,20.7,9.3,14.3,40,0
2018/1/1 22:30,3918.482464,20.7,9.3,14.3,40,0
2018/1/1 22:45,3781.148608,20.7,9.3,14.3,40,0
2018/1/1 23:00,3640.665664,20.7,9.3,14.3,40,0
2018/1/1 23:15,3459.625504,20.7,9.3,14.3,40,0
2018/1/1 23:30,3322.636768,20.7,9.3,14.3,40,0
2018/1/1 23:45,3178.754944,20.7,9.3,14.3,40,0
2018/1/2 0:00,3058.0792,20.3,10.2,15,55,0
2018/1/2 0:15,3002.46928,20.3,10.2,15,55,0
2018/1/2 0:30,2923.39888,20.3,10.2,15,55,0
2018/1/2 0:45,2834.803264,20.3,10.2,15,55,0
2018/1/2 1:00,2794.843552,20.3,10.2,15,55,0
2018/1/2 1:15,2718.941152,20.3,10.2,15,55,0
2018/1/2 1:30,2675.15872,20.3,10.2,15,55,0
2018/1/2 1:45,2642.727808,20.3,10.2,15,55,0
2018/1/2 2:00,2595.490048,20.3,10.2,15,55,0
2018/1/2 2:15,2573.45872,20.3,10.2,15,55,0
2018/1/2 2:30,2544.80848,20.3,10.2,15,55,0
2018/1/2 2:45,2534.526208,20.3,10.2,15,55,0
2018/1/2 3:00,2510.92144,20.3,10.2,15,55,0
2018/1/2 3:15,2498.428,20.3,10.2,15,55,0
2018/1/2 3:30,2476.800832,20.3,10.2,15,55,0
2018/1/2 3:45,2478.069568,20.3,10.2,15,55,0
2018/1/2 4:00,2470.603552,20.3,10.2,15,55,0
2018/1/2 4:15,2469.126208,20.3,10.2,15,55,0
2018/1/2 4:30,2478.685024,20.3,10.2,15,55,0
2018/1/2 4:45,2487.3592,20.3,10.2,15,55,0
2018/1/2 5:00,2504.493952,20.3,10.2,15,55,0
2018/1/2 5:15,2531.648608,20.3,10.2,15,55,0
2018/1/2 5:30,2578.19056,20.3,10.2,15,55,0
2018/1/2 5:45,2631.41872,20.3,10.2,15,55,0
2018/1/2 6:00,2702.573632,20.3,10.2,15,55,0
2018/1/2 6:15,2858.56,20.3,10.2,15,55,0
2018/1/2 6:30,2948.298016,20.3,10.2,15,55,0
2018/1/2 6:45,3135.46816,20.3,10.2,15,55,0
2018/1/2 7:00,3371.557408,20.3,10.2,15,55,0
2018/1/2 7:15,3738.277408,20.3,10.2,15,55,0
2018/1/2 7:30,4087.746208,20.3,10.2,15,55,0
2018/1/2 7:45,4580.035936,20.3,10.2,15,55,0
2018/1/2 8:00,5632.895776,20.3,10.2,15,55,0
2018/1/2 8:15,6616.795936,20.3,10.2,15,55,0
2018/1/2 8:30,6979.632352,20.3,10.2,15,55,0
2018/1/2 8:45,7221.463744,20.3,10.2,15,55,0
2018/1/2 9:00,7369.512352,20.3,10.2,15,55,0
2018/1/2 9:15,7523.222464,20.3,10.2,15,55,0
2018/1/2 9:30,7606.749088,20.3,10.2,15,55,0
2018/1/2 9:45,7708.248928,20.3,10.2,15,55,0
2018/1/2 10:00,7769.148928,20.3,10.2,15,55,0
2018/1/2 10:15,7859.114656,20.3,10.2,15,55,0
2018/1/2 10:30,7941.484864,20.3,10.2,15,55,0
2018/1/2 10:45,7983.933952,20.3,10.2,15,55,0
2018/1/2 11:00,8000.371552,20.3,10.2,15,55,0
2018/1/2 11:15,7998.108928,20.3,10.2,15,55,0
2018/1/2 11:30,7806.491392,20.3,10.2,15,55,0
2018/1/2 11:45,7499.295136,20.3,10.2,15,55,0
2018/1/2 12:00,6593.265184,20.3,10.2,15,55,0
2018/1/2 12:15,5986.125184,20.3,10.2,15,55,0
2018/1/2 12:30,5904.168928,20.3,10.2,15,55,0
2018/1/2 12:45,5892.61984,20.3,10.2,15,55,0
2018/1/2 13:00,5937.133312,20.3,10.2,15,55,0
2018/1/2 13:15,6117.666208,20.3,10.2,15,55,0
2018/1/2 13:30,6628.542784,20.3,10.2,15,55,0
2018/1/2 13:45,7279.693792,20.3,10.2,15,55,0
2018/1/2 14:00,7423.77904,20.3,10.2,15,55,0
2018/1/2 14:15,7581.916096,20.3,10.2,15,55,0
2018/1/2 14:30,7612.52128,20.3,10.2,15,55,0
2018/1/2 14:45,7658.910112,20.3,10.2,15,55,0
2018/1/2 15:00,7681.584064,20.3,10.2,15,55,0
2018/1/2 15:15,7723.962304,20.3,10.2,15,55,0
2018/1/2 15:30,7788.567808,20.3,10.2,15,55,0
2018/1/2 15:45,7844.1784,20.3,10.2,15,55,0
2018/1/2 16:00,7915.972192,20.3,10.2,15,55,0
2018/1/2 16:15,7999.455136,20.3,10.2,15,55,0
2018/1/2 16:30,8035.43872,20.3,10.2,15,55,0
2018/1/2 16:45,8034.527488,20.3,10.2,15,55,0
2018/1/2 17:00,7968.85888,20.3,10.2,15,55,0
2018/1/2 17:15,7862.057536,20.3,10.2,15,55,0
2018/1/2 17:30,7423.602784,20.3,10.2,15,55,0
2018/1/2 17:45,7075.794016,20.3,10.2,15,55,0
2018/1/2 18:00,7095.688768,20.3,10.2,15,55,0
2018/1/2 18:15,7356.47968,20.3,10.2,15,55,0
2018/1/2 18:30,7648.411072,20.3,10.2,15,55,0
2018/1/2 18:45,7897.97968,20.3,10.2,15,55,0
2018/1/2 19:00,7944.622144,20.3,10.2,15,55,0
2018/1/2 19:15,7962.528928,20.3,10.2,15,55,0
2018/1/2 19:30,7922.53888,20.3,10.2,15,55,0
2018/1/2 19:45,7836.692512,20.3,10.2,15,55,0
2018/1/2 20:00,7734.603424,20.3,10.2,15,55,0
2018/1/2 20:15,7710.174016,20.3,10.2,15,55,0
2018/1/2 20:30,7702.317376,20.3,10.2,15,55,0
2018/1/2 20:45,7672.207648,20.3,10.2,15,55,0
2018/1/2 21:00,7554.657856,20.3,10.2,15,55,0
2018/1/2 21:15,7443.249088,20.3,10.2,15,55,0
2018/1/2 21:30,7326.290272,20.3,10.2,15,55,0
2018/1/2 21:45,7160.332672,20.3,10.2,15,55,0
2018/1/2 22:00,6977.223424,20.3,10.2,15,55,0
2018/1/2 22:15,6800.786368,20.3,10.2,15,55,0
2018/1/2 22:30,6593.112352,20.3,10.2,15,55,0
2018/1/2 22:45,6335.596096,20.3,10.2,15,55,0
2018/1/2 23:00,6116.626528,20.3,10.2,15,55,0
2018/1/2 23:15,5841.635296,20.3,10.2,15,55,0
2018/1/2 23:30,5572.43872,20.3,10.2,15,55,0
2018/1/2 23:45,5323.625344,20.3,10.2,15,55,0
2018/1/3 0:00,5167.669408,23.9,14.4,18.9,64,0
2018/1/3 0:15,5031.4384,23.9,14.4,18.9,64,0
2018/1/3 0:30,4955.894656,23.9,14.4,18.9,64,0
2018/1/3 0:45,4898.783104,23.9,14.4,18.9,64,0
2018/1/3 1:00,4828.113472,23.9,14.4,18.9,64,0
2018/1/3 1:15,4786.595776,23.9,14.4,18.9,64,0
2018/1/3 1:30,4723.741984,23.9,14.4,18.9,64,0
2018/1/3 1:45,4682.113792,23.9,14.4,18.9,64,0
2018/1/3 2:00,4637.212672,23.9,14.4,18.9,64,0
2018/1/3 2:15,4611.805024,23.9,14.4,18.9,64,0
2018/1/3 2:30,4592.516896,23.9,14.4,18.9,64,0
2018/1/3 2:45,4558.873312,23.9,14.4,18.9,64,0
2018/1/3 3:00,4535.602624,23.9,14.4,18.9,64,0
2018/1/3 3:15,4489.306528,23.9,14.4,18.9,64,0
2018/1/3 3:30,4472.942944,23.9,14.4,18.9,64,0
2018/1/3 3:45,4457.989408,23.9,14.4,18.9,64,0
2018/1/3 4:00,4434.454816,23.9,14.4,18.9,64,0
2018/1/3 4:15,4432.717216,23.9,14.4,18.9,64,0
2018/1/3 4:30,4395.62176,23.9,14.4,18.9,64,0
2018/1/3 4:45,4398.784864,23.9,14.4,18.9,64,0
2018/1/3 5:00,4393.143424,23.9,14.4,18.9,64,0
2018/1/3 5:15,4387.608928,23.9,14.4,18.9,64,0
2018/1/3 5:30,4396.1584,23.9,14.4,18.9,64,0
2018/1/3 5:45,4464.595456,23.9,14.4,18.9,64,0
2018/1/3 6:00,4489.248448,23.9,14.4,18.9,64,0
2018/1/3 6:15,4592.137216,23.9,14.4,18.9,64,0
2018/1/3 6:30,4643.66032,23.9,14.4,18.9,64,0
2018/1/3 6:45,4779.369088,23.9,14.4,18.9,64,0
2018/1/3 7:00,4914.1384,23.9,14.4,18.9,64,0
2018/1/3 7:15,5180.238016,23.9,14.4,18.9,64,0
2018/1/3 7:30,5430.630592,23.9,14.4,18.9,64,0
2018/1/3 7:45,5734.964704,23.9,14.4,18.9,64,0
2018/1/3 8:00,6480.695296,23.9,14.4,18.9,64,0
2018/1/3 8:15,7403.5216,23.9,14.4,18.9,64,0
2018/1/3 8:30,7737.113632,23.9,14.4,18.9,64,0
2018/1/3 8:45,7943.911072,23.9,14.4,18.9,64,0
2018/1/3 9:00,8029.186528,23.9,14.4,18.9,64,0
2018/1/3 9:15,8102.997856,23.9,14.4,18.9,64,0
2018/1/3 9:30,8168.893792,23.9,14.4,18.9,64,0
2018/1/3 9:45,8227.444384,23.9,14.4,18.9,64,0
2018/1/3 10:00,8296.071232,23.9,14.4,18.9,64,0
2018/1/3 10:15,8357.192512,23.9,14.4,18.9,64,0
2018/1/3 10:30,8402.40064,23.9,14.4,18.9,64,0
2018/1/3 10:45,8421.06064,23.9,14.4,18.9,64,0
2018/1/3 11:00,8407.37872,23.9,14.4,18.9,64,0
2018/1/3 11:15,8373.226528,23.9,14.4,18.9,64,0
2018/1/3 11:30,8147.03968,23.9,14.4,18.9,64,0
2018/1/3 11:45,7765.237216,23.9,14.4,18.9,64,0
2018/1/3 12:00,6780.472672,23.9,14.4,18.9,64,0
2018/1/3 12:15,6197.072992,23.9,14.4,18.9,64,0
2018/1/3 12:30,6163.752832,23.9,14.4,18.9,64,0
2018/1/3 12:45,6139.075936,23.9,14.4,18.9,64,0
2018/1/3 13:00,6218.427808,23.9,14.4,18.9,64,0
2018/1/3 13:15,6421.364224,23.9,14.4,18.9,64,0
2018/1/3 13:30,6943.935136,23.9,14.4,18.9,64,0
2018/1/3 13:45,7630.525984,23.9,14.4,18.9,64,0
2018/1/3 14:00,7793.397856,23.9,14.4,18.9,64,0
2018/1/3 14:15,7937.591392,23.9,14.4,18.9,64,0
2018/1/3 14:30,7969.274656,23.9,14.4,18.9,64,0
2018/1/3 14:45,7996.214656,23.9,14.4,18.9,64,0
2018/1/3 15:00,8068.037536,23.9,14.4,18.9,64,0
2018/1/3 15:15,8114.330272,23.9,14.4,18.9,64,0
2018/1/3 15:30,8151.856576,23.9,14.4,18.9,64,0
2018/1/3 15:45,8190.077536,23.9,14.4,18.9,64,0
2018/1/3 16:00,8254.210912,23.9,14.4,18.9,64,0
2018/1/3 16:15,8327.565664,23.9,14.4,18.9,64,0
2018/1/3 16:30,8349.266848,23.9,14.4,18.9,64,0
2018/1/3 16:45,8334.989728,23.9,14.4,18.9,64,0
2018/1/3 17:00,8232.724384,23.9,14.4,18.9,64,0
2018/1/3 17:15,8103.103744,23.9,14.4,18.9,64,0
2018/1/3 17:30,7596.427648,23.9,14.4,18.9,64,0
2018/1/3 17:45,7233.477376,23.9,14.4,18.9,64,0
2018/1/3 18:00,7268.926528,23.9,14.4,18.9,64,0
2018/1/3 18:15,7557.303424,23.9,14.4,18.9,64,0
2018/1/3 18:30,7830.786208,23.9,14.4,18.9,64,0
2018/1/3 18:45,8117.727808,23.9,14.4,18.9,64,0
2018/1/3 19:00,8149.547488,23.9,14.4,18.9,64,0
2018/1/3 19:15,8180.007808,23.9,14.4,18.9,64,0
2018/1/3 19:30,8124.950272,23.9,14.4,18.9,64,0
2018/1/3 19:45,8043.325984,23.9,14.4,18.9,64,0
2018/1/3 20:00,7933.874656,23.9,14.4,18.9,64,0
2018/1/3 20:15,7888.49872,23.9,14.4,18.9,64,0
2018/1/3 20:30,7877.607328,23.9,14.4,18.9,64,0
2018/1/3 20:45,7855.389088,23.9,14.4,18.9,64,0
2018/1/3 21:00,7738.87984,23.9,14.4,18.9,64,0
2018/1/3 21:15,7610.027488,23.9,14.4,18.9,64,0
2018/1/3 21:30,7475.437696,23.9,14.4,18.9,64,0
2018/1/3 21:45,7346.827168,23.9,14.4,18.9,64,0
2018/1/3 22:00,7170.235936,23.9,14.4,18.9,64,0
2018/1/3 22:15,7017.487168,23.9,14.4,18.9,64,0
2018/1/3 22:30,6806.562784,23.9,14.4,18.9,64,0
2018/1/3 22:45,6544.28032,23.9,14.4,18.9,64,0
2018/1/3 23:00,6283.728448,23.9,14.4,18.9,64,0
2018/1/3 23:15,6002.557216,23.9,14.4,18.9,64,0
2018/1/3 23:30,5773.743904,23.9,14.4,18.9,64,0
2018/1/3 23:45,5488.816576,23.9,14.4,18.9,64,0
2018/1/4 0:00,5303.034976,20.8,14.7,17.9,47,0
2018/1/4 0:15,5174.028448,20.8,14.7,17.9,47,0
2018/1/4 0:30,5106.044224,20.8,14.7,17.9,47,0
2018/1/4 0:45,5035.110592,20.8,14.7,17.9,47,0
2018/1/4 1:00,4968.509728,20.8,14.7,17.9,47,0
2018/1/4 1:15,4920.951232,20.8,14.7,17.9,47,0
2018/1/4 1:30,4859.16112,20.8,14.7,17.9,47,0
2018/1/4 1:45,4810.208128,20.8,14.7,17.9,47,0
2018/1/4 2:00,4749.947488,20.8,14.7,17.9,47,0
2018/1/4 2:15,4727.98144,20.8,14.7,17.9,47,0
2018/1/4 2:30,4709.017216,20.8,14.7,17.9,47,0
2018/1/4 2:45,4681.182784,20.8,14.7,17.9,47,0
2018/1/4 3:00,4643.35888,20.8,14.7,17.9,47,0
2018/1/4 3:15,4583.791552,20.8,14.7,17.9,47,0
2018/1/4 3:30,4547.587168,20.8,14.7,17.9,47,0
2018/1/4 3:45,4537.776256,20.8,14.7,17.9,47,0
2018/1/4 4:00,4507.025344,20.8,14.7,17.9,47,0
2018/1/4 4:15,4491.072832,20.8,14.7,17.9,47,0
2018/1/4 4:30,4485.642304,20.8,14.7,17.9,47,0
2018/1/4 4:45,4469.63968,20.8,14.7,17.9,47,0
2018/1/4 5:00,4470.38128,20.8,14.7,17.9,47,0
2018/1/4 5:15,4489.23856,20.8,14.7,17.9,47,0
2018/1/4 5:30,4495.353472,20.8,14.7,17.9,47,0
2018/1/4 5:45,4519.802944,20.8,14.7,17.9,47,0
2018/1/4 6:00,4527.068608,20.8,14.7,17.9,47,0
2018/1/4 6:15,4602.134656,20.8,14.7,17.9,47,0
2018/1/4 6:30,4648.035136,20.8,14.7,17.9,47,0
2018/1/4 6:45,4720.96048,20.8,14.7,17.9,47,0
2018/1/4 7:00,4853.673952,20.8,14.7,17.9,47,0
2018/1/4 7:15,5072.582944,20.8,14.7,17.9,47,0
2018/1/4 7:30,5351.812672,20.8,14.7,17.9,47,0
2018/1/4 7:45,5662.044064,20.8,14.7,17.9,47,0
2018/1/4 8:00,6427.49824,20.8,14.7,17.9,47,0
2018/1/4 8:15,7338.603424,20.8,14.7,17.9,47,0
2018/1/4 8:30,7666.216576,20.8,14.7,17.9,47,0
2018/1/4 8:45,7885.177216,20.8,14.7,17.9,47,0
2018/1/4 9:00,7976.807488,20.8,14.7,17.9,47,0
2018/1/4 9:15,8078.522464,20.8,14.7,17.9,47,0
2018/1/4 9:30,8131.115296,20.8,14.7,17.9,47,0
2018/1/4 9:45,8207.931232,20.8,14.7,17.9,47,0
2018/1/4 10:00,8258.470048,20.8,14.7,17.9,47,0
2018/1/4 10:15,8317.271872,20.8,14.7,17.9,47,0
2018/1/4 10:30,8369.889088,20.8,14.7,17.9,47,0
2018/1/4 10:45,8391.353152,20.8,14.7,17.9,47,0
2018/1/4 11:00,8380.497856,20.8,14.7,17.9,47,0
2018/1/4 11:15,8350.79872,20.8,14.7,17.9,47,0
2018/1/4 11:30,8134.905664,20.8,14.7,17.9,47,0
2018/1/4 11:45,7762.025344,20.8,14.7,17.9,47,0
2018/1/4 12:00,6768.366208,20.8,14.7,17.9,47,0
2018/1/4 12:15,6206.266528,20.8,14.7,17.9,47,0
2018/1/4 12:30,6163.066048,20.8,14.7,17.9,47,0
2018/1/4 12:45,6181.153792,20.8,14.7,17.9,47,0
2018/1/4 13:00,6249.009088,20.8,14.7,17.9,47,0
2018/1/4 13:15,6411.343264,20.8,14.7,17.9,47,0
2018/1/4 13:30,6933.695296,20.8,14.7,17.9,47,0
2018/1/4 13:45,7604.714656,20.8,14.7,17.9,47,0
2018/1/4 14:00,7749.391072,20.8,14.7,17.9,47,0
2018/1/4 14:15,7859.38,20.8,14.7,17.9,47,0
2018/1/4 14:30,7898.314816,20.8,14.7,17.9,47,0
2018/1/4 14:45,7933.92016,20.8,14.7,17.9,47,0
2018/1/4 15:00,7949.788768,20.8,14.7,17.9,47,0
2018/1/4 15:15,8007.88,20.8,14.7,17.9,47,0
2018/1/4 15:30,8033.183104,20.8,14.7,17.9,47,0
2018/1/4 15:45,8066.925664,20.8,14.7,17.9,47,0
2018/1/4 16:00,8132.06128,20.8,14.7,17.9,47,0
2018/1/4 16:15,8211.443104,20.8,14.7,17.9,47,0
2018/1/4 16:30,8217.20168,20.8,14.7,17.9,47,0
2018/1/4 16:45,8197.064704,20.8,14.7,17.9,47,0
2018/1/4 17:00,8119.974976,20.8,14.7,17.9,47,0
2018/1/4 17:15,7950.325984,20.8,14.7,17.9,47,0
2018/1/4 17:30,7415.965024,20.8,14.7,17.9,47,0
2018/1/4 17:45,7117.867648,20.8,14.7,17.9,47,0
2018/1/4 18:00,7133.177536,20.8,14.7,17.9,47,0
2018/1/4 18:15,7375.088608,20.8,14.7,17.9,47,0
2018/1/4 18:30,7577.094016,20.8,14.7,17.9,47,0
2018/1/4 18:45,7757.926528,20.8,14.7,17.9,47,0
2018/1/4 19:00,7764.51856,20.8,14.7,17.9,47,0
2018/1/4 19:15,7769.97904,20.8,14.7,17.9,47,0
2018/1/4 19:30,7727.934976,20.8,14.7,17.9,47,0
2018/1/4 19:45,7638.451552,20.8,14.7,17.9,47,0
2018/1/4 20:00,7522.7584,20.8,14.7,17.9,47,0
2018/1/4 20:15,7513.531552,20.8,14.7,17.9,47,0
2018/1/4 20:30,7488.954976,20.8,14.7,17.9,47,0
2018/1/4 20:45,7471.976416,20.8,14.7,17.9,47,0
2018/1/4 21:00,7354.945984,20.8,14.7,17.9,47,0
2018/1/4 21:15,7290.463744,20.8,14.7,17.9,47,0
2018/1/4 21:30,7194.58144,20.8,14.7,17.9,47,0
2018/1/4 21:45,7072.111072,20.8,14.7,17.9,47,0
2018/1/4 22:00,6917.789728,20.8,14.7,17.9,47,0
2018/1/4 22:15,6778.64128,20.8,14.7,17.9,47,0
2018/1/4 22:30,6628.203424,20.8,14.7,17.9,47,0
2018/1/4 22:45,6431.883904,20.8,14.7,17.9,47,0
2018/1/4 23:00,6190.617856,20.8,14.7,17.9,47,0
2018/1/4 23:15,5915.609728,20.8,14.7,17.9,47,0
2018/1/4 23:30,5659.450912,20.8,14.7,17.9,47,0
2018/1/4 23:45,5449.744384,20.8,14.7,17.9,47,0
2018/1/5 0:00,5266.497856,20.1,10.8,15.3,38,0
2018/1/5 0:15,5168.934016,20.1,10.8,15.3,38,0
2018/1/5 0:30,5088.235456,20.1,10.8,15.3,38,0
2018/1/5 0:45,5016.970912,20.1,10.8,15.3,38,0
2018/1/5 1:00,4939.062784,20.1,10.8,15.3,38,0
2018/1/5 1:15,4891.457056,20.1,10.8,15.3,38,0
2018/1/5 1:30,4834.107328,20.1,10.8,15.3,38,0
2018/1/5 1:45,4776.654016,20.1,10.8,15.3,38,0
2018/1/5 2:00,4734.427648,20.1,10.8,15.3,38,0
2018/1/5 2:15,4705.629088,20.1,10.8,15.3,38,0
2018/1/5 2:30,4673.253952,20.1,10.8,15.3,38,0
2018/1/5 2:45,4644.729088,20.1,10.8,15.3,38,0
2018/1/5 3:00,4580.986528,20.1,10.8,15.3,38,0
2018/1/5 3:15,4546.592512,20.1,10.8,15.3,38,0
2018/1/5 3:30,4520.183104,20.1,10.8,15.3,38,0
2018/1/5 3:45,4512.30112,20.1,10.8,15.3,38,0
2018/1/5 4:00,4484.533312,20.1,10.8,15.3,38,0
2018/1/5 4:15,4471.063744,20.1,10.8,15.3,38,0
2018/1/5 4:30,4454.305984,20.1,10.8,15.3,38,0
2018/1/5 4:45,4414.332832,20.1,10.8,15.3,38,0
2018/1/5 5:00,4434.005344,20.1,10.8,15.3,38,0
2018/1/5 5:15,4425.673312,20.1,10.8,15.3,38,0
2018/1/5 5:30,4421.811232,20.1,10.8,15.3,38,0
2018/1/5 5:45,4424.589088,20.1,10.8,15.3,38,0
2018/1/5 6:00,4451.710432,20.1,10.8,15.3,38,0
2018/1/5 6:15,4494.408928,20.1,10.8,15.3,38,0
2018/1/5 6:30,4526.137216,20.1,10.8,15.3,38,0
2018/1/5 6:45,4547.471392,20.1,10.8,15.3,38,0
2018/1/5 7:00,4616.106688,20.1,10.8,15.3,38,0
2018/1/5 7:15,4798.257376,20.1,10.8,15.3,38,0
2018/1/5 7:30,4948.284544,20.1,10.8,15.3,38,0
2018/1/5 7:45,5216.849248,20.1,10.8,15.3,38,0
2018/1/5 8:00,5804.772352,20.1,10.8,15.3,38,0
2018/1/5 8:15,6485.753632,20.1,10.8,15.3,38,0
2018/1/5 8:30,6731.54128,20.1,10.8,15.3,38,0
2018/1/5 8:45,6897.805984,20.1,10.8,15.3,38,0
2018/1/5 9:00,6982.992832,20.1,10.8,15.3,38,0
2018/1/5 9:15,7077.111232,20.1,10.8,15.3,38,0
2018/1/5 9:30,7132.207648,20.1,10.8,15.3,38,0
2018/1/5 9:45,7203.616576,20.1,10.8,15.3,38,0
2018/1/5 10:00,7271.527168,20.1,10.8,15.3,38,0
2018/1/5 10:15,7326.002464,20.1,10.8,15.3,38,0
2018/1/5 10:30,7383.84112,20.1,10.8,15.3,38,0
